,RMSE,R²,Spearman ρ,bootstrap_win_rate_vs_best_single_model
XGBoost + ECFP (tuned),0.830020766782462,0.5410859250369541,0.7136851179692977,
MLP + ChemBERTa,1.1254210162268474,0.15630883180145427,0.5511337899747621,
Ensemble (alpha=0.87),0.819877242021514,0.5522339890318446,0.7208790533925372,1.0
